id,date,time,location,event_type,nature,narrative
20030,2024-02-19,05:54,"BROOKLYN, NEW YORK",Injured by object pushed or pulled by person,"Amputations, avulsions, enucleations  unspecified",An employee was making a repair to a fan that was secured to a shipping pallet with bolts. He removed the shipping bolts and stood the fan vertically on the pallet when he lost his grip and his right index fingertip was caught between the fan flange and the shipping pallet. He sustained a fingertip…
20031,2024-02-20,06:59,"NAPERVILLE, ILLINOIS","Collision with stationary object, nonroadway",Amputations involving bone loss,An employee was driving a stand-up forklift through a demising wall pass-through when their left foot became caught between the forklift and a bollard. The employee's foot was crushed and amputated.
20032,2024-02-21,03:43,"ATHENS, GEORGIA",Other fall to lower level  6 to 30 feet,Fractures,A crew was tearing off a section of roof over a concrete deck. An employee fell 25-30 feet off the roof edge that had a permanent railing for safety provided by the hospital. The employee suffered fractures and multiple injuries. The employee was hospitalized.
20033,2024-02-21,08:44,"DE KALB, MISSISSIPPI",Fall on same level due to slip or trip,Fractures,"An employee tripped on a floor mat in the kitchen and fell, fracturing their left hip."
20034,2024-02-22,15:46,"NORWOOD, OHIO",Exposure to environmental heat  outdoor,Effects of heat  unspecified,An employee was delivering mail on a residential route and sustained heat stress requiring hospitalization.
20035,2024-02-22,15:59,"LUVERNE, NORTH DAKOTA",Struck by running powered equipment  n.e.c.,Amputations involving bone loss,An employee was operating a hydraulic torque tool on a main bearing. The tool activated before the torque head was on the bolt. The employee's left little finger became caught between the reaction arm and the main bearing. The finger was crushed and the fingertip was amputated.
20036,2024-02-23,11:59,"FORT LAUDERDALE, FLORIDA",Pedestrian struck by vehicle in nonroadway area  unspecified,"Fractures and surface, flesh wounds",An employee was loading bags into a baggage cart when they were struck by a baggage cart. The employee sustained a severe laceration and a fractured left femur.
20037,2024-02-24,02:07,"KENOSHA, WISCONSIN",Struck by running powered equipment  unspecified,Amputations involving bone loss,An employee was checking RPMs on a part when their hand was pulled into the belt and pulley resulting in amputation of the right middle finger.
20038,2024-02-26,05:20,"BEDFORD PARK, ILLINOIS","Struck by running powered equipment  during maintenance, cleaning, testing",Amputations involving bone loss,"An employee was brushing something off a metal coil at the recoiler of a slitter machine. His glove was caught and pulled into a coil separator, and the separator disk amputated his right little finger. The machine was unguarded at the time."
20039,2024-02-27,16:27,"REXBURG, IDAHO",Caught or wedged between objects  nonrunning,Amputations involving bone loss,"An employee reached around a gate in order to open it when his fingers got stuck in the latch, resulting in a partial amputation of one finger at the knuckle."
20040,2024-03-01,14:01,"WASHINGTON, DISTRICT OF COLUMBIA",Contact with hot objects or substances,Thermal burns  second degree,An employee was using diesel fuel in the asphalt mixing drum to encourage stuck asphalt to move. The diesel vaporized when it touched the hot drum surface and the diesel vapor caused first- and second-degree burns.
20041,2024-03-03,16:37,"FORT WORTH, TEXAS",Fall on same level due to slip or trip,Fractures,"An employee tripped and fell in an inpatient therapy gym, falling to the concrete floor and suffering a broken right femur."
20042,2024-03-04,22:03,"DALLAS, TEXAS","Struck by running powered equipment  during maintenance, cleaning, testing","Amputations, avulsions, enucleations  unspecified",An employee was performing repairs on a crimping machine when their thumb and index finger were crushed in the crimping mechanism. The employee sustained an amputation to the finger.
20043,2024-03-07,10:16,"VALLEY, NEBRASKA","Caught, entangled in running powered equipment  normal operation",Amputations involving bone loss,An employee had just finished unloading a train car and was using a drill to operate a winch attached to the cables that secure the load while in transit. Their right glove was caught by the drill bit and the employee sustained amputations of their little finger at the second knuckle and their ring…
20044,2024-03-14,02:49,"BELK, ALABAMA",Injured by object held or wielded by person,Nonfatal 'crushing' injuries,"An employee was helping repair a sawmill trimmer. The employee transferred a pry bar from their right hand to their left hand, then turned, at which point the employee's left middle fingertip was pinched between the pry bar and a saw box. The fingertip was crushed at the nailbed, but not fractured;…"
20045,2024-03-15,01:55,"OPELIKA, ALABAMA","Struck by running powered equipment  during maintenance, cleaning, testing",Fractures,"An employee was removing debris from the bottom mold of a hydraulic press. The employee was beyond the light curtains when they were crushed by the upper die. The employee sustained fractures to their back, hip, and legs, as well as multiple bruises."
20046,2024-03-25,01:17,"WACO, TEXAS",Contact incidents  unspecified,Amputations involving bone loss,"An employee was disconnecting a trailer from a tractor and attaching a push bar when the bar pin pushed up and pinched their right index finger, resulting in an amputation."
20047,2024-03-26,02:53,"EAST GRANBY, CONNECTICUT","Collision with stationary object, nonroadway",Traumatic injuries or exposures  unspecified,"An employee was driving a three-wheel cart through an interconnecting tunnel when the cart veered into a wall, pinning his left leg against the wall. The employee sustained an injury to the leg."
20048,2024-03-26,03:30,"BROOKHAVEN, MISSISSIPPI",Struck by running powered equipment  unspecified,Multiple severe wounds and internal injuries,"An employee was training to operate the planer mill sorter. While standing on the upper catwalk he noticed that a bin was malfunctioning. As he was cleaning the photo eye, his left arm was caught on the framework of another bin as it was coming back to the up position, breaking and degloving his le…"
20049,2024-03-27,14:50,"SANDUSKY, OHIO",Fall on same level due to slip or trip,Fractures,An employee was walking into work when they slipped on ice and fell. The employee suffered a hip fracture.
20050,2024-03-27,15:34,"AUSTIN, TEXAS",Other fall to lower level  less than 6 feet,Fractures,"An employee was working from a track ladder attached to shelves. As she was reaching to scan the barcode on a box, she fell to the ground about 5 feet below, landing on her left side and suffering a broken left shoulder and wrist."
20051,2024-03-31,17:01,"MILTON, PENNSYLVANIA","Caught, entangled in running powered equipment  normal operation",Amputations involving bone loss,An employee was cutting parts for toolboxes using a metal shear when the shear actuated and his right thumb was amputated to the base of the thumb.
20052,2024-04-01,06:37,"BOSTON, MASSACHUSETTS","Caught, entangled in running powered equipment  normal operation","Amputations, avulsions, enucleations  unspecified",A carpenter utilizing table saw amputated the tip of their left thumb.
20053,2024-04-02,17:43,"SOUTH HOLLAND, ILLINOIS",Struck by running powered equipment  unspecified,"Amputations, avulsions, enucleations  unspecified",An employee was using a table saw when they sustained a left index fingertip amputation.
20054,2024-04-07,12:36,"JEFFERSONVILLE, OHIO",Fall to lower level resulting in exposure or contact  less than 6 feet,"Bruises, contusions",An employee was loading something into their truck while at a truck stop when they slipped on the truck steps and fell. The employee's head struck a metal phone box and their back struck a concrete block. The employee suffered a head contusion and was hospitalized.
20055,2024-04-09,00:22,"CHAPARRAL, NEW MEXICO",Exposure through intact tissue,Traumatic injuries or exposures  unspecified,An employee was troubleshooting a diesel fuel system on a military vehicle when diesel fuel spilled onto the employee.
20056,2024-04-14,04:58,"MUNCY, PENNSYLVANIA",Fall on same level  n.e.c.,Fractures,"The employee was using a long prybar to flip a steel track over so it could be installed on a bulldozer. The employee inserted the prybar into the track chain and began to lift. When the weight of the track went over the center, the employee lost his balance. He fell to the concrete shop floor, bre…"
20057,2024-04-14,20:08,"DALLAS, TEXAS",Pedestrian struck by vehicle or object propelled by another vehicle in nonroadway area,Fractures,An employee was using an order picker. A forklift was being maneuvered around the order picker when its carriage caught the edge of a pallet and forced a stack of pallets forward. The employee was pinned against the order picker by the pallets and suffered a broken left leg.
20058,2024-04-15,11:09,"MIAMI, FLORIDA",Fall to lower level from collapsing structure or equipment  6 to 30 feet,"Closed trauma involving internal organs, major blood vessels","An employee was up a ladder, moving sprinkler heads. The ladder slipped and the employee fell to the ground 8-10 feet below. The employee suffered a collapsed lung and bruised ribs."
20059,2024-04-18,02:26,"SEBASTOPOL, MISSISSIPPI","Stabbing, cutting, slashing by other person","Cuts, lacerations, punctures without injury to internal structures",The injured employee had been hanging live bird. A physical altercation occurred with a co-worker. The co-worker stabbed the injured employee with a knife causing multiple lacerations to the abdomen.
20060,2024-04-18,15:45,"BRYAN, TEXAS","Caught, entangled in running powered equipment  normal operation",Traumatic injuries or exposures  unspecified,"An employee was moving cabinets using a conveyor belt when his right foot got caught between two conveyor belts, resulting in an injury that required hospitalization."
20061,2024-04-20,03:31,"DAYTON, OHIO",Exposure to environmental heat  outdoor,Effects of heat  n.e.c.,An employee was performing regular job duties when they began to feel unwell. The employee was hospitalized for dehydration due to heat.
20062,2024-04-23,13:58,"DENVER, COLORADO","Collision with stationary object, nonroadway",Nonfatal 'crushing' injuries,"An employee was operating a standing forklift when he struck a guard post, crushing his left foot. The employee was hospitalized."
20063,2024-04-25,02:02,"RAINBOW CITY, ALABAMA",Fall on same level due to slip or trip,Fractures,An employee was mopping a client's floor when they slipped and fell on the wet floor. The employee sustained broken bones and required surgery.
20064,2024-04-26,09:14,"CARROLLTON, TEXAS",Other fall to lower level  unspecified,Fractures,An employee was removing plastic from the machine and handing it to another employee when they lost balance and fell from the platform to the floor and broke a wrist.
20065,2024-04-29,20:43,"LYON STATION, PENNSYLVANIA","Slip, trip, stumble while stepping between levels",Fractures,"An employee was exiting a truck when their foot slipped and struck the ground, resulting in compound fractures of their right tibia and fibula."
20066,2024-04-30,04:19,"MIDLAND, TEXAS",Fall to lower level resulting from exposure or contact  unspecified,Fractures,"An employee was performing a cable installation at a residence. The cable was hanging over the road between two poles when a car drove along the road, hitting the cable and pulling the employee off the ladder. The employee suffered fractures to the hand, hip, and leg."
20067,2024-05-02,02:40,"DENTON, TEXAS","Struck by running powered equipment  during maintenance, cleaning, testing",Amputations involving bone loss,"An employee was organizing materials and clearing debris from the operating area when the machine activated, resulting in the amputation of two fingers."
20068,2024-05-13,07:03,"PLEASANT HILL, MISSOURI","Caught, entangled in running powered equipment  normal operation","Amputations, avulsions, enucleations  unspecified",An employee was operating a brake press and crushed their left middle finger between the back gauge and the die resulting in amputation of the fingertip.
20069,2024-05-14,02:23,"TAMPA, FLORIDA",Other fall to lower level  unspecified,Soft tissue injuries  unspecified,An employee was talking to a patient when he lost his balance and fell down the stairs. The employee sustained injuries to both patellar tendons and required surgery.
20070,2024-05-14,12:13,"NEWARK, NEW JERSEY","Struck by running powered equipment  during maintenance, cleaning, testing",Fractures,An employee was inspecting a conveyor belt for mechanical issues when his right arm became caught between a roller and the belt. The employee was hospitalized with fractures to his right hand.
20071,2024-05-16,17:49,"RAMONA, KANSAS",Other fall to lower level  unspecified,Fractures,"An employee had just unloaded feed from a truck and blew out the empty truck with an air hose while approximately 11 feet above the ground. The employee was then descending the attached ladder when they fell to the ground, sustaining compound fractures to their T1, T2, and T3 vertebrae."
20072,2024-05-16,22:49,"EAST GREENBUSH, NEW YORK","Slip, trip, stumble while stepping between levels",Fractures,"An employee was exiting his delivery truck at the loading dock when they slipped on ice on the ground and fell, breaking their right hip."
20073,2024-05-17,17:56,"INDEPENDENCE, MISSOURI",Exposure to environmental heat  outdoor,"Heat stroke, syncope",An employee suffered heat stroke while clearing brush and debris from a roadside.
20074,2024-05-18,21:12,"RAPID CITY, SOUTH DAKOTA","Caught, entangled in running powered equipment  normal operation","Amputations, avulsions, enucleations  unspecified",An employee was observing a forklift under operation when the boards shifted and his right hand became pinched between the supports of the forklift attachment and the forklift tine. The employee sustained a fingertip amputation.
20075,2024-05-20,07:04,"LONGWOOD, FLORIDA",Compressed between running equipment and other object(s),"Cuts, lacerations, punctures without injury to internal structures","An employee was retrieving packages from a conveyor belt. A large package came down the slide and crushed her right little finger, lacerating it."
20076,2024-05-20,22:37,"SHINER, TEXAS",Walked or ran into stationary object,"Cuts, lacerations, punctures without injury to internal structures","An employee was closing a picnic table umbrella. When they moved out of the way of the closing umbrella, they lacerated their lower right leg on the table."
20077,2024-05-24,01:38,"DEER PARK, TEXAS",Flash fire,Thermal burns  second degree,"An employee was preparing to sample a cylinder containing approximately 700 to 1,000 cubic centimeters of liquefied petroleum gas (LPG) to run an analysis for sulfur content. The employee was loading the sample into the testing instrument when he noticed it was leaking at the fitting. Some of the L…"
20078,2024-05-25,12:19,"MIAMI GARDENS, FLORIDA",Struck by falling object  unspecified,Cerebral and other intracranial hemorrhages without skull fracture,"An employee was pulling product to restock when they were struck in the head by an overhead ceiling tile, resulting in a head contusion and internal bleeding."
20079,2024-05-31,00:01,"DALLAS, TEXAS",Compressed between running equipment and other object(s),Fractures,An employee was preparing to conduct maintenance on a passenger boarding bridge (PBB) and was ascending on a scissor lift. The employee had his left hand on the scissor lift railing when the railing struck against the PBB and crushed his index finger. The employee sustained a fractured finger.
20080,2024-06-01,08:26,"GREELEY, COLORADO",Struck by other falling object  n.e.c.,Nonfatal 'crushing' injuries,"An employee was standing by while 110-inch oil and gas pipes were being loaded onto a gooseneck trailer. Some pipes fell from the trailer and one of them landed on the employee's left ankle, crushing it."
20081,2024-06-01,13:57,"AUSTIN, TEXAS",Contact with hot objects or substances,Thermal burns  degree unspecified,"An employee was transferring molten aluminum into a sow (mold). Condensation dripped from a pipe located above the area into the sow as it was staged to fill. When the molten aluminum came into contact with the water, the molten aluminum reacted and was released into the air, contacting the employe…"
20082,2024-06-02,05:03,"DELAND, FLORIDA",Fall on same level due to slip or trip,Traumatic injuries or exposures  unspecified,"An employee was walking to their car, tripped over the concrete parking stop, and fell to the ground. She injured her right wrist, left shoulder and right knee. She also had a bruise on her forehead."
20083,2024-06-02,09:30,"FRESH MEADOWS, NEW YORK",Other fall to lower level  less than 6 feet,Fractures,"An employee was descending the stairs when they tripped on the bottom steps and fell, sustained a fractured ankle and knee."
20084,2024-06-04,20:56,"BARTONVILLE, ILLINOIS",Struck by other falling object  n.e.c.,Fractures,"A fork truck was being used to pick up three stacked metal shipping racks. As the offset racks were lifted, the racks fell onto an employee who was cleaning out tubs. The employee suffered a broken shoulder blade and three broken ribs, and they were hospitalized."
20085,2024-06-09,06:32,"AMARILLO, TEXAS",Fall on same level due to slip or trip,Fractures,An employee was walking when they tripped and fell on the floor. The employee sustained a broken knee.
20086,2024-06-10,21:17,"HOUSTON, TEXAS",Nonroadway noncollision  fall or jump from and struck by moving vehicle,"Cuts, lacerations, punctures without injury to internal structures","An employee was operating a zero-turn mower on a slope next to a retention pond when the mower slipped on the wet grass and slid into the pond. He jumped off the mower and his foot made contact with the mowing deck, resulting in a laceration to his right foot."
20087,2024-06-15,03:01,"HOUSTON, TEXAS",Struck by other falling object  n.e.c.,Fractures,Twenty sheets of sheetrock were leaning against a wall. An employee walked by and the sheetrock fell onto their left leg and fractured it.
20088,2024-06-15,06:43,"GRANVILLE, NEW YORK","Struck by running powered equipment  irregular movement, kick back","Amputations, avulsions, enucleations  unspecified",An employee was cutting wood with a circular saw. The saw kicked back and amputated the tip of the employee's left middle finger.
20089,2024-06-16,19:53,"OZARK, ALABAMA",Fall on same level due to slip or trip,Traumatic injuries or exposures  unspecified,"An employee was retrieving a bucket of paint, tripped and fell to the concrete floor. The employee sustained a head injury."
20090,2024-06-18,09:13,"TRENTON, NEW JERSEY","Struck by propelled, falling, or suspended object  unspecified",Traumatic injuries or exposures  unspecified,"An employee was trying to open a dock door when they were struck by a door clip, resulting in a left eye injury."
20091,2024-06-19,13:12,"TERMINAL ISLAND, CALIFORNIA",Pedestrian struck by vehicle or object propelled by another vehicle in nonroadway area,Fractures,An employee was onboard a vessel moving cargo in the hold when materials fell from a forklift onto her right foot. The employee suffered a fractured foot and sustained a laceration. She was hospitalized.
20092,2024-06-20,01:28,"KETTERING, OHIO",Fall while sitting,Fractures,An employee tripped while sitting and fell to the ground. The employee suffered a facial laceration and a broken neck vertebra.
20093,2024-06-23,21:40,"HAZEL CREST, ILLINOIS",Exposure through intact tissue,"Chemical burns, corrosions  degree unspecified","An employee was washing a tank wagon. They opened a pressurized vessel and were sprayed with sodium hydroxide, resulting in burns."
20094,2024-06-24,10:46,"ROBERTSDALE, ALABAMA","Pedestrian incidents involving motorized land vehicles, n.e.c.",Fractures,An employee was loading a scissor lift onto a trailer when the ramp on the trailer broke and the scissor lift fell over. The employee jumped out of the way and his right femur was fractured.
20095,2024-06-25,00:19,"IRVING, TEXAS","Struck by running powered equipment  during maintenance, cleaning, testing","Cuts, lacerations, punctures without injury to internal structures","An employee was cleaning a deli slicer with a rag. The slicer caught the rag and pulled the employee's finger into the slicer, cutting it."
20096,2024-06-27,19:43,"ALLSTON, MASSACHUSETTS","Slip, trip, stumble while stepping between levels",Fractures,An employee fell on stairs while trying to enter a residence. She suffered a broken left shoulder and right wrist and was hospitalized.
20097,2024-06-29,03:04,"KANSAS CITY, KANSAS",Struck by falling object  unspecified,Amputations involving bone loss,"An employee was changing out grates on metal shredding equipment. His anvil came loose from his position and fell, striking his hip and pinning his right hand against a plate collector. His right index and middle fingers were amputated."
20098,2024-07-02,06:30,"HOMESTEAD, FLORIDA","Bite or sting  insects, ""bugs""",Allergic and irritant dermatitis  acute,"An employee was engaged in landscaping activities and was stung by about 300 bees. The employee was hospitalized with pain and swelling over their face, neck, back, arms, and hands."
20099,2024-07-03,15:45,"HAMBURG, ARKANSAS",Other fall to lower level  unspecified,Concussions,"An employee was climbing up onto a loader when he fell and struck his head, resulting in a concussion."
20100,2024-07-04,07:36,"MERCEDES, TEXAS",Fall on same level due to slip or trip,Fractures,"The injured employee was helping another warehouse employee move some items with a pallet jack. When the injured employee took a step back, he tripped and fell backward, landing on his right leg. The employee was hospitalized for a fractured ankle."
20101,2024-07-07,04:56,"NEW LIMERICK, MAINE","Struck by running powered equipment  during maintenance, cleaning, testing","Amputations, avulsions, enucleations  unspecified",An employee was clearing a jam in the strapping machine when the machine caused a partial amputation of his left index finger.
20102,2024-07-10,06:47,"JACKSONVILLE, FLORIDA",Struck by running powered equipment  n.e.c.,"Cuts, lacerations, punctures without injury to internal structures",A crew was moving a radial stacker. One of them was moving an electric cable when an excavator struck his abdomen with its teeth. He was hospitalized with a puncture wound to the left side of the abdomen that resulted in damage to muscle tissue.
20103,2024-07-10,16:38,"MIDLAND, TEXAS",Struck by dislodged or detached object(s),"Amputations, avulsions, enucleations  unspecified","An employee was replacing a bolt on a scissor lift. A rail fell from the scissor lift and lacerated a finger on his right hand, resulting in the amputation of the fingertip."
20104,2024-07-13,06:16,"ORLANDO, FLORIDA",Other fall to lower level  unspecified,Traumatic injuries or exposures  unspecified,An employee had been preparing a unit at an apartment complex. He was walking down a flight of stairs when he fell to the floor and injured his leg.
20105,2024-07-13,23:25,"HORSEHEADS, NEW YORK",Struck by falling object  unspecified,Fractures,"A crew was dismantling an automated storage unit. A piece of the unit fell on an employee's head, causing a laceration and a skull fracture. The employee was hospitalized."
20106,2024-07-14,23:15,"VENICE, FLORIDA",Compressed between running equipment and other object(s),"Cuts, lacerations, punctures without injury to internal structures",An employee was installing an electrical box when they became pinned between the bucket of an excavator and the electrical fiber box. The employee sustained a laceration to their left inner leg.
20107,2024-07-15,04:49,"STERLING, ILLINOIS","Struck by running powered equipment  during maintenance, cleaning, testing","Amputations, avulsions, enucleations  unspecified","An employee was conducting service on a bearing insert machine. A proximity sensor activated, causing the machine to cycle. A cylinder came down on the employee's finger resulting in a partial amputation. The machine was energized at the time."
20108,2024-07-21,09:29,"BELOIT, WISCONSIN",Other fall to lower level  6 to 30 feet,Fractures,An employee was preparing the mezzanine for painting and was laying plastic on the concrete floor. They noticed a piece of plywood lying on the mezzanine floor and lifted the plywood to lay plastic down. The employee then fell approximately 12 feet through the floor opening the plywood was covering…
20109,2024-07-22,04:51,"GARLAND, TEXAS",Fall to lower level from collapsing structure or equipment  unspecified,Fractures and soft tissue injuries,"An employee was on a six-foot ladder to inspect the mounting bracket for a rollup door. As the employee was adjusting the position of the bracket, the ladder pushed out from under the employee and the employee fell to the ground, breaking their left arm and dislocating their right shoulder."
20110,2024-07-25,18:31,"COOSA PINES, ALABAMA","Struck by rolling, sliding, or shifting objects non-running","Amputations, avulsions, enucleations  unspecified","An employee was unloading tubing and removed the packing slip for one of the tubes. While removing the packing slip, the tube shifted and came down on the employee's little finger resulting in surgical amputation of the fingertip."
20111,2024-07-28,01:42,"HOUSTON, TEXAS","Collision with stationary object, nonroadway","Amputations, avulsions, enucleations  unspecified",An employee was loading a directional drill unit onto a trailer when their finger was caught between the directional drill unit and the trailer. The employee's finger was partially amputated.
20112,2024-07-28,12:13,"ROSENBERG, TEXAS","Collision with stationary object, nonroadway",Fractures and soft tissue injuries,An employee was operating a tugger when their right foot contacted a pallet. The employee sustained an open fracture and dislocation of the foot.
20113,2024-07-31,16:31,"BROOKLYN, NEW YORK",Nonroadway noncollision  vehicle overturn,Traumatic injuries or exposures  unspecified,An employee was operating an excavator on top of an unprocessed pile of construction and demolition waste. The machine tipped over and the employee suffered a back injury.
20114,2024-08-03,07:15,"WALLKILL, NEW YORK","Caught, entangled in running powered equipment  normal operation",Amputations involving bone loss,An employee was working with a metal shear and amputated their right middle finger.
20115,2024-08-03,23:13,"KANSAS CITY, MISSOURI",Fall on same level resulting in exposure or contact,"Amputations, avulsions, enucleations  unspecified","An employee was troubleshooting a machine when he slipped and went to brace himself. His hand entered the machine and the blade contacted his finger, resulting in a fingertip amputation."
20116,2024-08-04,08:36,"MIAMI, FLORIDA",Nonroadway collision with other vehicle(s) moving and standing vehicle,"Cuts, lacerations, punctures without injury to internal structures",An employee was operating a stand-up forklift to transport a pallet and collided with a stationary forklift. The employee sustained a laceration to the left foot and was hospitalized.
