id,date,time,location,event_type,nature,narrative
20141,2024-09-18,20:08,"KINGSTON, PENNSYLVANIA",Fall on same level due to slip or trip,Fractures,"An employee tripped over a call bell wire that was on the floor and fell to the ground, resulting in a fractured hip."
20142,2024-09-19,16:48,"DENTON, TEXAS",Exposure to environmental heat  unspecified,Effects of heat  unspecified,"An employee was working in shipping when they experienced heat illness, resulting in hospitalization."
20143,2024-09-22,14:41,"COLUMBUS, OHIO",Fall to lower level from collapsing structure or equipment  6 to 30 feet,Fractures and soft tissue injuries,An employee was cleaning broken-up concrete off a bridge deck. He stepped out on a wood deck that was supported by bridge hangers. The bridge hangers at this area of the deck failed and the deck fell. The employee fell 26 feet to the ground below the bridge. The employee sustained fractures to thei…
20144,2024-09-24,01:33,"FORT WORTH, TEXAS",Exposure to environmental heat  outdoor,"Heat stroke, syncope","While bending over to deliver a package, a mail carrier passed out due to heat. The employee was hospitalized with injury due to heat and dehydration."
20145,2024-09-25,23:18,"OKLAHOMA CITY, OKLAHOMA",Fall on same level due to slip or trip,Fractures,"An employee tripped over a sign that had fallen over at the entrance door and fell, resulting in a broken hip."
20146,2024-09-27,11:14,"BRIDGETON, MISSOURI",Fall on same level  n.e.c.,Fractures,"An employee was removing a walkie pallet jack from a pallet in the freezer. As he was dislodging the pallet jack forks that were stuck under the wood pallet, he lost his footing and was spun around landing on the concrete floor underneath the racking. The employee sustained a fractured left hip."
20147,2024-09-30,00:59,"BELMONT, MAINE",Struck by falling object  unspecified,Nonfatal 'crushing' injuries,"An employee was preparing to tow a vehicle. The towing chain slipped, and when the employee went to grab it, the car slipped and fell on the employee's arm, resulting in a crushing injury."
20148,2024-10-06,02:04,"BROOKLYN, NEW YORK",Caught or wedged between objects  nonrunning,"Amputations, avulsions, enucleations  unspecified","An employee was placing a prefabricated structure onto stanchions. As he was tapping the structure with a hammer to align it with the stanchions, his left thumb and index finger were crushed underneath the structure. The employee sustained an amputation to the fingers and was hospitalized."
20149,2024-10-06,14:18,"ALPHARETTA, GEORGIA",Fall on same level due to slip or trip,Fractures,An employee was walking through the warehouse to check orders. They tripped on plastic wrap on a pallet and fell to the floor sustaining a fractured hip.
20150,2024-10-10,09:38,"BUTNER, NORTH CAROLINA","Caught, entangled in running powered equipment  normal operation",Amputations involving bone loss,"An employee was operating a snap machine. The machine activated while his left index finger was between its upper press fixture and the lower die holder, and he suffered a skin avulsion with bone damage. He underwent a medical amputation of a portion of the left index finger."
20151,2024-10-11,12:43,"SAN ANTONIO, TEXAS",Fall on same level  n.e.c.,Fractures,An employee and a co-worker were assessing and attempting to move rental vehicles when a car door opened and struck the employee. The employee then fell to the ground and suffered a fractured hip.
20152,2024-10-12,02:42,"LAKEWOOD, COLORADO",Fall on same level due to slip or trip,Fractures,"An employee was carrying two bags of trash while walking between two cars in the parking lot. The employee slipped on a patch of ice and fell, suffering a fractured left hip and femur."
